"Código","Nombre"
0102,"BANCO DE VENEZUELA"
0104,"BANCO VENEZOLANO DE CREDITO"
0105,"BANCO MERCANTIL"
0108,"BBVA PROVINCIAL"
0114,"BANCARIBE"
0115,"BANCO EXTERIOR"
0128,"BANCO CARONI"
0134,"BANESCO"
0137,"BANCO SOFITASA"
0138,"BANCO PLAZA"
0146,"BANGENTE"
0151,"BANCO FONDO COMUN"
0156,"100% BANCO"
0157,"DELSUR BANCO UNIVERSAL"
0163,"BANCO DEL TESORO"
0168,"BANCRECER"
0169,"R4 BANCO MICROFINANCIERO C.A."
0171,"BANCO ACTIVO"
0172,"BANCAMIGA BANCO UNIVERSAL, C.A."
0173,"BANCO INTERNACIONAL DE DESARROLLO"
0174,"BANPLUS"
0175,"BANCO DIGITAL DE LOS TRABAJADORES, BANCO UNIVERSAL"
0177,"BANFANB"
0178,"N58 BANCO DIGITAL BANCO MICROFINANCIERO S A"
0191,"BANCO NACIONAL DE CREDITO"
